,precision,recall,f1-score,support
0,0.9952966543455597,0.99156103203267,0.9934253313940425,169452.0
1,0.965035819946698,0.9802796612274296,0.9725980138488455,40263.0
accuracy,0.9893951314879718,0.9893951314879718,0.9893951314879718,0.9893951314879718
macro avg,0.9801662371461288,0.9859203466300498,0.983011672621444,209715.0
weighted avg,0.9894869031336705,0.9893951314879718,0.9894267128578279,209715.0
