Modelo,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
LogisticRegression,0.8857735498176096,0.7220346367498094,0.658569902888508,0.6888435709925053,0.940645226154194,0.6000484747141119
RandomForest,0.9855804305843645,0.9424470688876744,0.9850483073789832,0.9632769047676876,0.9970497173140985,0.9816694832417909
XGBoost,0.9858045442624515,0.9387001129518072,0.990760748081365,0.9640280815379596,0.997279329920186,0.9835280362843408
